hazard,epoch,rcp,gcm,model,path
drought,2030,2.6,hadgem2-es,h08,data/KEN/isimip_heat_drought/lange2020_h08_hadgem2-es_ewembi_rcp26_2005soc_co2_led_global_annual_2006_2099_2030_occurrence__KEN.tif
drought,2030,2.6,hadgem2-es,jules-w1,data/KEN/isimip_heat_drought/lange2020_jules-w1_hadgem2-es_ewembi_rcp26_nosoc_co2_led_global_annual_2006_2099_2030_occurrence__KEN.tif
drought,2030,2.6,hadgem2-es,lpjml,data/KEN/isimip_heat_drought/lange2020_lpjml_hadgem2-es_ewembi_rcp26_2005soc_co2_led_global_annual_2006_2099_2030_occurrence__KEN.tif
drought,2030,2.6,hadgem2-es,orchidee,data/KEN/isimip_heat_drought/lange2020_orchidee_hadgem2-es_ewembi_rcp26_nosoc_co2_led_global_annual_2006_2099_2030_occurrence__KEN.tif
drought,2030,2.6,hadgem2-es,pcr-globwb,data/KEN/isimip_heat_drought/lange2020_pcr-globwb_hadgem2-es_ewembi_rcp26_2005soc_co2_led_global_annual_2006_2099_2030_occurrence__KEN.tif
drought,2030,2.6,hadgem2-es,watergap2,data/KEN/isimip_heat_drought/lange2020_watergap2_hadgem2-es_ewembi_rcp26_2005soc_co2_led_global_annual_2006_2099_2030_occurrence__KEN.tif
drought,2030,2.6,ipsl-cm5a-lr,clm45,data/KEN/isimip_heat_drought/lange2020_clm45_ipsl-cm5a-lr_ewembi_rcp26_2005soc_co2_led_global_annual_2006_2099_2030_occurrence__KEN.tif
drought,2030,2.6,ipsl-cm5a-lr,h08,data/KEN/isimip_heat_drought/lange2020_h08_ipsl-cm5a-lr_ewembi_rcp26_2005soc_co2_led_global_annual_2006_2099_2030_occurrence__KEN.tif
drought,2030,2.6,ipsl-cm5a-lr,jules-w1,data/KEN/isimip_heat_drought/lange2020_jules-w1_ipsl-cm5a-lr_ewembi_rcp26_nosoc_co2_led_global_annual_2006_2099_2030_occurrence__KEN.tif
drought,2030,2.6,ipsl-cm5a-lr,lpjml,data/KEN/isimip_heat_drought/lange2020_lpjml_ipsl-cm5a-lr_ewembi_rcp26_2005soc_co2_led_global_annual_2006_2099_2030_occurrence__KEN.tif
drought,2030,2.6,ipsl-cm5a-lr,mpi-hm,data/KEN/isimip_heat_drought/lange2020_mpi-hm_ipsl-cm5a-lr_ewembi_rcp26_2005soc_co2_led_global_annual_2006_2099_2030_occurrence__KEN.tif
drought,2030,2.6,ipsl-cm5a-lr,orchidee,data/KEN/isimip_heat_drought/lange2020_orchidee_ipsl-cm5a-lr_ewembi_rcp26_nosoc_co2_led_global_annual_2006_2099_2030_occurrence__KEN.tif
drought,2030,2.6,ipsl-cm5a-lr,pcr-globwb,data/KEN/isimip_heat_drought/lange2020_pcr-globwb_ipsl-cm5a-lr_ewembi_rcp26_2005soc_co2_led_global_annual_2006_2099_2030_occurrence__KEN.tif
drought,2030,2.6,ipsl-cm5a-lr,watergap2,data/KEN/isimip_heat_drought/lange2020_watergap2_ipsl-cm5a-lr_ewembi_rcp26_2005soc_co2_led_global_annual_2006_2099_2030_occurrence__KEN.tif
drought,2030,2.6,miroc5,clm45,data/KEN/isimip_heat_drought/lange2020_clm45_miroc5_ewembi_rcp26_2005soc_co2_led_global_annual_2006_2099_2030_occurrence__KEN.tif
drought,2030,2.6,miroc5,h08,data/KEN/isimip_heat_drought/lange2020_h08_miroc5_ewembi_rcp26_2005soc_co2_led_global_annual_2006_2099_2030_occurrence__KEN.tif
drought,2030,2.6,miroc5,jules-w1,data/KEN/isimip_heat_drought/lange2020_jules-w1_miroc5_ewembi_rcp26_nosoc_co2_led_global_annual_2006_2099_2030_occurrence__KEN.tif
drought,2030,2.6,miroc5,lpjml,data/KEN/isimip_heat_drought/lange2020_lpjml_miroc5_ewembi_rcp26_2005soc_co2_led_global_annual_2006_2099_2030_occurrence__KEN.tif
drought,2030,2.6,miroc5,mpi-hm,data/KEN/isimip_heat_drought/lange2020_mpi-hm_miroc5_ewembi_rcp26_2005soc_co2_led_global_annual_2006_2099_2030_occurrence__KEN.tif
drought,2030,2.6,miroc5,orchidee,data/KEN/isimip_heat_drought/lange2020_orchidee_miroc5_ewembi_rcp26_nosoc_co2_led_global_annual_2006_2099_2030_occurrence__KEN.tif
drought,2030,2.6,miroc5,pcr-globwb,data/KEN/isimip_heat_drought/lange2020_pcr-globwb_miroc5_ewembi_rcp26_2005soc_co2_led_global_annual_2006_2099_2030_occurrence__KEN.tif
drought,2030,2.6,miroc5,watergap2,data/KEN/isimip_heat_drought/lange2020_watergap2_miroc5_ewembi_rcp26_2005soc_co2_led_global_annual_2006_2099_2030_occurrence__KEN.tif
