location_id;location_name;parameter;value;unit;datetimeUtc;datetimeLocal;timezone;latitude;longitude
4421507;Alkhobar - Ar Rakkah ;pm25;40.4;آµg/mآ³;2026-08-15T07:00:00Z;2026-08-15T10:00:00+03:00;Asia/Riyadh;26.3521533;50.2069895
4421507;Alkhobar - Ar Rakkah ;pm25;43.8;آµg/mآ³;2026-08-15T08:00:00Z;2026-08-15T11:00:00+03:00;Asia/Riyadh;26.3521533;50.2069895
4421507;Alkhobar - Ar Rakkah ;pm25;45.7;آµg/mآ³;2026-08-15T09:00:00Z;2026-08-15T12:00:00+03:00;Asia/Riyadh;26.3521533;50.2069895
4421507;Alkhobar - Ar Rakkah ;pm25;47.2;آµg/mآ³;2026-08-15T10:00:00Z;2026-08-15T13:00:00+03:00;Asia/Riyadh;26.3521533;50.2069895
4421507;Alkhobar - Ar Rakkah ;pm25;49.3;آµg/mآ³;2026-08-15T11:00:00Z;2026-08-15T14:00:00+03:00;Asia/Riyadh;26.3521533;50.2069895
4421507;Alkhobar - Ar Rakkah ;pm25;45.3;آµg/mآ³;2026-08-15T12:00:00Z;2026-08-15T15:00:00+03:00;Asia/Riyadh;26.3521533;50.2069895
4421507;Alkhobar - Ar Rakkah ;pm25;46.5;آµg/mآ³;2026-08-15T13:00:00Z;2026-08-15T16:00:00+03:00;Asia/Riyadh;26.3521533;50.2069895
4421507;Alkhobar - Ar Rakkah ;pm25;50.3;آµg/mآ³;2026-08-15T14:00:00Z;2026-08-15T17:00:00+03:00;Asia/Riyadh;26.3521533;50.2069895
4421507;Alkhobar - Ar Rakkah ;pm25;56.9;آµg/mآ³;2026-08-15T15:00:00Z;2026-08-15T18:00:00+03:00;Asia/Riyadh;26.3521533;50.2069895
4421507;Alkhobar - Ar Rakkah ;pm25;64.2;آµg/mآ³;2026-08-15T16:00:00Z;2026-08-15T19:00:00+03:00;Asia/Riyadh;26.3521533;50.2069895
4421507;Alkhobar - Ar Rakkah ;pm25;73.6;آµg/mآ³;2026-08-15T17:00:00Z;2026-08-15T20:00:00+03:00;Asia/Riyadh;26.3521533;50.2069895
4421507;Alkhobar - Ar Rakkah ;pm25;78.7;آµg/mآ³;2026-08-15T18:00:00Z;2026-08-15T21:00:00+03:00;Asia/Riyadh;26.3521533;50.2069895
4421507;Alkhobar - Ar Rakkah ;pm25;98.3;آµg/mآ³;2026-08-15T19:00:00Z;2026-08-15T22:00:00+03:00;Asia/Riyadh;26.3521533;50.2069895
4421507;Alkhobar - Ar Rakkah ;pm25;105.3;آµg/mآ³;2026-08-15T20:00:00Z;2026-08-15T23:00:00+03:00;Asia/Riyadh;26.3521533;50.2069895
4421507;Alkhobar - Ar Rakkah ;pm25;91.3;آµg/mآ³;2026-08-15T21:00:00Z;2026-08-16T00:00:00+03:00;Asia/Riyadh;26.3521533;50.2069895
4421507;Alkhobar - Ar Rakkah ;pm25;96.2;آµg/mآ³;2026-08-15T22:00:00Z;2026-08-16T01:00:00+03:00;Asia/Riyadh;26.3521533;50.2069895
4421507;Alkhobar - Ar Rakkah ;pm25;104.2;آµg/mآ³;2026-08-15T23:00:00Z;2026-08-16T02:00:00+03:00;Asia/Riyadh;26.3521533;50.2069895
4421507;Alkhobar - Ar Rakkah ;pm25;100;آµg/mآ³;2026-08-16T00:00:00Z;2026-08-16T03:00:00+03:00;Asia/Riyadh;26.3521533;50.2069895
4421507;Alkhobar - Ar Rakkah ;relativehumidity;40;%;2026-08-15T01:00:00Z;2026-08-15T04:00:00+03:00;Asia/Riyadh;26.3521533;50.2069895
4421507;Alkhobar - Ar Rakkah ;relativehumidity;38;%;2026-08-15T02:00:00Z;2026-08-15T05:00:00+03:00;Asia/Riyadh;26.3521533;50.2069895
4421507;Alkhobar - Ar Rakkah ;relativehumidity;32;%;2026-08-15T03:00:00Z;2026-08-15T06:00:00+03:00;Asia/Riyadh;26.3521533;50.2069895
4421507;Alkhobar - Ar Rakkah ;relativehumidity;23;%;2026-08-15T04:00:00Z;2026-08-15T07:00:00+03:00;Asia/Riyadh;26.3521533;50.2069895
4421507;Alkhobar - Ar Rakkah ;relativehumidity;15;%;2026-08-15T05:00:00Z;2026-08-15T08:00:00+03:00;Asia/Riyadh;26.3521533;50.2069895
4421507;Alkhobar - Ar Rakkah ;relativehumidity;13;%;2026-08-15T06:00:00Z;2026-08-15T09:00:00+03:00;Asia/Riyadh;26.3521533;50.2069895
4421507;Alkhobar - Ar Rakkah ;relativehumidity;20;%;2026-08-15T07:00:00Z;2026-08-15T10:00:00+03:00;Asia/Riyadh;26.3521533;50.2069895
4421507;Alkhobar - Ar Rakkah ;relativehumidity;24;%;2026-08-15T08:00:00Z;2026-08-15T11:00:00+03:00;Asia/Riyadh;26.3521533;50.2069895
4421507;Alkhobar - Ar Rakkah ;relativehumidity;28;%;2026-08-15T09:00:00Z;2026-08-15T12:00:00+03:00;Asia/Riyadh;26.3521533;50.2069895
4421507;Alkhobar - Ar Rakkah ;relativehumidity;28;%;2026-08-15T10:00:00Z;2026-08-15T13:00:00+03:00;Asia/Riyadh;26.3521533;50.2069895
4421507;Alkhobar - Ar Rakkah ;relativehumidity;31;%;2026-08-15T11:00:00Z;2026-08-15T14:00:00+03:00;Asia/Riyadh;26.3521533;50.2069895
4421507;Alkhobar - Ar Rakkah ;relativehumidity;35;%;2026-08-15T12:00:00Z;2026-08-15T15:00:00+03:00;Asia/Riyadh;26.3521533;50.2069895
4421507;Alkhobar - Ar Rakkah ;relativehumidity;35;%;2026-08-15T13:00:00Z;2026-08-15T16:00:00+03:00;Asia/Riyadh;26.3521533;50.2069895
4421507;Alkhobar - Ar Rakkah ;relativehumidity;33;%;2026-08-15T14:00:00Z;2026-08-15T17:00:00+03:00;Asia/Riyadh;26.3521533;50.2069895
4421507;Alkhobar - Ar Rakkah ;relativehumidity;37;%;2026-08-15T15:00:00Z;2026-08-15T18:00:00+03:00;Asia/Riyadh;26.3521533;50.2069895
4421507;Alkhobar - Ar Rakkah ;relativehumidity;42;%;2026-08-15T16:00:00Z;2026-08-15T19:00:00+03:00;Asia/Riyadh;26.3521533;50.2069895
4421507;Alkhobar - Ar Rakkah ;relativehumidity;44;%;2026-08-15T17:00:00Z;2026-08-15T20:00:00+03:00;Asia/Riyadh;26.3521533;50.2069895
4421507;Alkhobar - Ar Rakkah ;relativehumidity;45;%;2026-08-15T18:00:00Z;2026-08-15T21:00:00+03:00;Asia/Riyadh;26.3521533;50.2069895
4421507;Alkhobar - Ar Rakkah ;relativehumidity;37;%;2026-08-15T19:00:00Z;2026-08-15T22:00:00+03:00;Asia/Riyadh;26.3521533;50.2069895
4421507;Alkhobar - Ar Rakkah ;relativehumidity;35;%;2026-08-15T20:00:00Z;2026-08-15T23:00:00+03:00;Asia/Riyadh;26.3521533;50.2069895
4421507;Alkhobar - Ar Rakkah ;relativehumidity;33;%;2026-08-15T21:00:00Z;2026-08-16T00:00:00+03:00;Asia/Riyadh;26.3521533;50.2069895
4421507;Alkhobar - Ar Rakkah ;relativehumidity;31;%;2026-08-15T22:00:00Z;2026-08-16T01:00:00+03:00;Asia/Riyadh;26.3521533;50.2069895
4421507;Alkhobar - Ar Rakkah ;relativehumidity;30;%;2026-08-15T23:00:00Z;2026-08-16T02:00:00+03:00;Asia/Riyadh;26.3521533;50.2069895
4421507;Alkhobar - Ar Rakkah ;relativehumidity;30;%;2026-08-16T00:00:00Z;2026-08-16T03:00:00+03:00;Asia/Riyadh;26.3521533;50.2069895
4421507;Alkhobar - Ar Rakkah ;temperature;34;c;2026-08-15T01:00:00Z;2026-08-15T04:00:00+03:00;Asia/Riyadh;26.3521533;50.2069895
4421507;Alkhobar - Ar Rakkah ;temperature;33.9;c;2026-08-15T02:00:00Z;2026-08-15T05:00:00+03:00;Asia/Riyadh;26.3521533;50.2069895
4421507;Alkhobar - Ar Rakkah ;temperature;34.4;c;2026-08-15T03:00:00Z;2026-08-15T06:00:00+03:00;Asia/Riyadh;26.3521533;50.2069895
4421507;Alkhobar - Ar Rakkah ;temperature;40.7;c;2026-08-15T04:00:00Z;2026-08-15T07:00:00+03:00;Asia/Riyadh;26.3521533;50.2069895
4421507;Alkhobar - Ar Rakkah ;temperature;47.5;c;2026-08-15T05:00:00Z;2026-08-15T08:00:00+03:00;Asia/Riyadh;26.3521533;50.2069895
4421507;Alkhobar - Ar Rakkah ;temperature;50.6;c;2026-08-15T06:00:00Z;2026-08-15T09:00:00+03:00;Asia/Riyadh;26.3521533;50.2069895
4421507;Alkhobar - Ar Rakkah ;temperature;48.4;c;2026-08-15T07:00:00Z;2026-08-15T10:00:00+03:00;Asia/Riyadh;26.3521533;50.2069895
4421507;Alkhobar - Ar Rakkah ;temperature;45.1;c;2026-08-15T08:00:00Z;2026-08-15T11:00:00+03:00;Asia/Riyadh;26.3521533;50.2069895
4421507;Alkhobar - Ar Rakkah ;temperature;42.6;c;2026-08-15T09:00:00Z;2026-08-15T12:00:00+03:00;Asia/Riyadh;26.3521533;50.2069895
4421507;Alkhobar - Ar Rakkah ;temperature;40.8;c;2026-08-15T10:00:00Z;2026-08-15T13:00:00+03:00;Asia/Riyadh;26.3521533;50.2069895
4421507;Alkhobar - Ar Rakkah ;temperature;39.9;c;2026-08-15T11:00:00Z;2026-08-15T14:00:00+03:00;Asia/Riyadh;26.3521533;50.2069895
4421507;Alkhobar - Ar Rakkah ;temperature;38.5;c;2026-08-15T12:00:00Z;2026-08-15T15:00:00+03:00;Asia/Riyadh;26.3521533;50.2069895
4421507;Alkhobar - Ar Rakkah ;temperature;38.2;c;2026-08-15T13:00:00Z;2026-08-15T16:00:00+03:00;Asia/Riyadh;26.3521533;50.2069895
4421507;Alkhobar - Ar Rakkah ;temperature;38.1;c;2026-08-15T14:00:00Z;2026-08-15T17:00:00+03:00;Asia/Riyadh;26.3521533;50.2069895
4421507;Alkhobar - Ar Rakkah ;temperature;37.4;c;2026-08-15T15:00:00Z;2026-08-15T18:00:00+03:00;Asia/Riyadh;26.3521533;50.2069895
4421507;Alkhobar - Ar Rakkah ;temperature;36.4;c;2026-08-15T16:00:00Z;2026-08-15T19:00:00+03:00;Asia/Riyadh;26.3521533;50.2069895
4421507;Alkhobar - Ar Rakkah ;temperature;35.7;c;2026-08-15T17:00:00Z;2026-08-15T20:00:00+03:00;Asia/Riyadh;26.3521533;50.2069895
4421507;Alkhobar - Ar Rakkah ;temperature;35.3;c;2026-08-15T18:00:00Z;2026-08-15T21:00:00+03:00;Asia/Riyadh;26.3521533;50.2069895
4421507;Alkhobar - Ar Rakkah ;temperature;35.2;c;2026-08-15T19:00:00Z;2026-08-15T22:00:00+03:00;Asia/Riyadh;26.3521533;50.2069895
4421507;Alkhobar - Ar Rakkah ;temperature;35.3;c;2026-08-15T20:00:00Z;2026-08-15T23:00:00+03:00;Asia/Riyadh;26.3521533;50.2069895
4421507;Alkhobar - Ar Rakkah ;temperature;35.3;c;2026-08-15T21:00:00Z;2026-08-16T00:00:00+03:00;Asia/Riyadh;26.3521533;50.2069895
4421507;Alkhobar - Ar Rakkah ;temperature;34.9;c;2026-08-15T22:00:00Z;2026-08-16T01:00:00+03:00;Asia/Riyadh;26.3521533;50.2069895
4421507;Alkhobar - Ar Rakkah ;temperature;34.6;c;2026-08-15T23:00:00Z;2026-08-16T02:00:00+03:00;Asia/Riyadh;26.3521533;50.2069895
4421507;Alkhobar - Ar Rakkah ;temperature;34.2;c;2026-08-16T00:00:00Z;2026-08-16T03:00:00+03:00;Asia/Riyadh;26.3521533;50.2069895
4421507;Alkhobar - Ar Rakkah ;um003;2972;particles/cmآ³;2026-08-15T01:00:00Z;2026-08-15T04:00:00+03:00;Asia/Riyadh;26.3521533;50.2069895
4421507;Alkhobar - Ar Rakkah ;um003;2968;particles/cmآ³;2026-08-15T02:00:00Z;2026-08-15T05:00:00+03:00;Asia/Riyadh;26.3521533;50.2069895
4421507;Alkhobar - Ar Rakkah ;um003;2702;particles/cmآ³;2026-08-15T03:00:00Z;2026-08-15T06:00:00+03:00;Asia/Riyadh;26.3521533;50.2069895
4421507;Alkhobar - Ar Rakkah ;um003;2432;particles/cmآ³;2026-08-15T04:00:00Z;2026-08-15T07:00:00+03:00;Asia/Riyadh;26.3521533;50.2069895
4421507;Alkhobar - Ar Rakkah ;um003;2169;particles/cmآ³;2026-08-15T05:00:00Z;2026-08-15T08:00:00+03:00;Asia/Riyadh;26.3521533;50.2069895
4421507;Alkhobar - Ar Rakkah ;um003;1859;particles/cmآ³;2026-08-15T06:00:00Z;2026-08-15T09:00:00+03:00;Asia/Riyadh;26.3521533;50.2069895
4421507;Alkhobar - Ar Rakkah ;um003;2061;particles/cmآ³;2026-08-15T07:00:00Z;2026-08-15T10:00:00+03:00;Asia/Riyadh;26.3521533;50.2069895
4421507;Alkhobar - Ar Rakkah ;um003;2128;particles/cmآ³;2026-08-15T08:00:00Z;2026-08-15T11:00:00+03:00;Asia/Riyadh;26.3521533;50.2069895
4421507;Alkhobar - Ar Rakkah ;um003;2136;particles/cmآ³;2026-08-15T09:00:00Z;2026-08-15T12:00:00+03:00;Asia/Riyadh;26.3521533;50.2069895
4421507;Alkhobar - Ar Rakkah ;um003;2180;particles/cmآ³;2026-08-15T10:00:00Z;2026-08-15T13:00:00+03:00;Asia/Riyadh;26.3521533;50.2069895
4421507;Alkhobar - Ar Rakkah ;um003;2306;particles/cmآ³;2026-08-15T11:00:00Z;2026-08-15T14:00:00+03:00;Asia/Riyadh;26.3521533;50.2069895
4421507;Alkhobar - Ar Rakkah ;um003;2036;particles/cmآ³;2026-08-15T12:00:00Z;2026-08-15T15:00:00+03:00;Asia/Riyadh;26.3521533;50.2069895
4421507;Alkhobar - Ar Rakkah ;um003;2120;particles/cmآ³;2026-08-15T13:00:00Z;2026-08-15T16:00:00+03:00;Asia/Riyadh;26.3521533;50.2069895
4421507;Alkhobar - Ar Rakkah ;um003;2359;particles/cmآ³;2026-08-15T14:00:00Z;2026-08-15T17:00:00+03:00;Asia/Riyadh;26.3521533;50.2069895
4421507;Alkhobar - Ar Rakkah ;um003;2706;particles/cmآ³;2026-08-15T15:00:00Z;2026-08-15T18:00:00+03:00;Asia/Riyadh;26.3521533;50.2069895
4421507;Alkhobar - Ar Rakkah ;um003;3028;particles/cmآ³;2026-08-15T16:00:00Z;2026-08-15T19:00:00+03:00;Asia/Riyadh;26.3521533;50.2069895
4421507;Alkhobar - Ar Rakkah ;um003;3417;particles/cmآ³;2026-08-15T17:00:00Z;2026-08-15T20:00:00+03:00;Asia/Riyadh;26.3521533;50.2069895
4421507;Alkhobar - Ar Rakkah ;um003;3643;particles/cmآ³;2026-08-15T18:00:00Z;2026-08-15T21:00:00+03:00;Asia/Riyadh;26.3521533;50.2069895
4421507;Alkhobar - Ar Rakkah ;um003;4485;particles/cmآ³;2026-08-15T19:00:00Z;2026-08-15T22:00:00+03:00;Asia/Riyadh;26.3521533;50.2069895
4421507;Alkhobar - Ar Rakkah ;um003;4761;particles/cmآ³;2026-08-15T20:00:00Z;2026-08-15T23:00:00+03:00;Asia/Riyadh;26.3521533;50.2069895
4421507;Alkhobar - Ar Rakkah ;um003;4123;particles/cmآ³;2026-08-15T21:00:00Z;2026-08-16T00:00:00+03:00;Asia/Riyadh;26.3521533;50.2069895
4421507;Alkhobar - Ar Rakkah ;um003;4304;particles/cmآ³;2026-08-15T22:00:00Z;2026-08-16T01:00:00+03:00;Asia/Riyadh;26.3521533;50.2069895
4421507;Alkhobar - Ar Rakkah ;um003;4591;particles/cmآ³;2026-08-15T23:00:00Z;2026-08-16T02:00:00+03:00;Asia/Riyadh;26.3521533;50.2069895
4421507;Alkhobar - Ar Rakkah ;um003;4442;particles/cmآ³;2026-08-16T00:00:00Z;2026-08-16T03:00:00+03:00;Asia/Riyadh;26.3521533;50.2069895
